SPN,x,y,TWT,Vel
3558,45188,7755364,1172,1490
3558,45188,7755364,1343,1500
3558,45188,7755364,1528,1550
3558,45188,7755364,1697,1615
3558,45188,7755364,1848,1705
3558,45188,7755364,2088,1800
3558,45188,7755364,2357,1985
3558,45188,7755364,2626,2135
3558,45188,7755364,2963,2335
3558,45188,7755364,3131,2420
3558,45188,7755364,3374,2550
3558,45188,7755364,3909,2835
3558,45188,7755364,4480,3065
3558,45188,7755364,5086,3250
3558,45188,7755364,5949,3455
3558,45188,7755364,7111,3745
3558,45188,7755364,7838,3940
3558,45188,7755364,8727,4140
3558,45188,7755364,9626,4335
3558,45188,7755364,10813,4560
3558,45188,7755364,11990,4760
3584,45947,7755975,1164,1495
3584,45947,7755975,1326,1505
3584,45947,7755975,1641,1600
3584,45947,7755975,1843,1750
3584,45947,7755975,1944,1780
3584,45947,7755975,2404,1960
3584,45947,7755975,2662,2120
3584,45947,7755975,2955,2250
3584,45947,7755975,3273,2400
3584,45947,7755975,3485,2520
3584,45947,7755975,3889,2820
3584,45947,7755975,4606,3095
3584,45947,7755975,5071,3255
3584,45947,7755975,5960,3525
3584,45947,7755975,6697,3710
3584,45947,7755975,7707,3950
3584,45947,7755975,8763,4195
3584,45947,7755975,9641,4370
3584,45947,7755975,10359,4500
3584,45947,7755975,11061,4620
3584,45947,7755975,11980,4770
